계정,팔로워,걷힌글,열어본글,광고글,광고율%,본문에링크,조회수중앙,주소
duck382424,73,6,4,4,100,2,2,https://www.threads.net/@duck382424
ddak.life,119,2,1,1,100,1,2,https://www.threads.net/@ddak.life
envy_kok,345,5,1,1,100,1,2,https://www.threads.net/@envy_kok
byeori_oh,15,7,3,3,100,3,2,https://www.threads.net/@byeori_oh
orangestore_shop,16,7,5,3,60,2,1,https://www.threads.net/@orangestore_shop
good_item_8282,0,8,5,2,40,2,1,https://www.threads.net/@good_item_8282
alligator.755630,10,8,4,4,100,4,1,https://www.threads.net/@alligator.755630
jumsuni_1006,8,7,3,3,100,3,1,https://www.threads.net/@jumsuni_1006
jio_salim,14,7,3,3,100,3,1,https://www.threads.net/@jio_salim
skyblue_j_,5,8,4,4,100,4,1,https://www.threads.net/@skyblue_j_
yul.uppick,115,8,5,5,100,4,1,https://www.threads.net/@yul.uppick
jihinam23,3,7,3,3,100,3,1,https://www.threads.net/@jihinam23
bob.omii,22,8,5,5,100,4,1,https://www.threads.net/@bob.omii
gardenia.8195,1014,7,3,3,100,3,0,https://www.threads.net/@gardenia.8195
heartattackers_official,2,8,4,4,100,4,0,https://www.threads.net/@heartattackers_official
saga45567,8,7,7,6,86,3,0,https://www.threads.net/@saga45567
whdms3402,290,7,3,3,100,3,0,https://www.threads.net/@whdms3402
la_jjintem,1,8,4,3,75,3,0,https://www.threads.net/@la_jjintem
